headword,level,toefl,ielts
airmail,C1,0,1
airplane/aeroplane,A1,1,1
airport,A1,0,1
airway,B2,0,1
aisle,A2,0,1
ajar,C1,1,1
akin,B2,1,0
alarm,A2,1,1
alarm clock,A2,0,0
alarming,C1,0,1
alas,B2,0,1
albeit,C1,1,0
album,A1,1,1
alcohol,B1,1,1
alcoholic,B1,0,1
alcoholism,B2,1,1
ale,C1,0,1
alert,B2,1,1
algae,B2,1,0
algebra,B2,1,1
algorithm,C1,1,0
alien,B2,1,1
alienate,C1,1,1
alienation,B2,1,1
align,C1,1,0
alignment,C1,1,1
alike,B1,1,1
alive,A2,1,1
alkali,C1,1,0
all,A2,0,1
all right,A1,0,0
all-encompassing,C2,0,0
allegation,B2,1,0
allege,C1,1,0
allegorical,C2,0,0
allegory,C2,1,0
allergic,B1,0,1
allergy,C1,0,1
alleviate,C1,1,0
alliance,B2,1,1
allied,C2,0,1
alligator,B1,1,0
allocate,C1,1,1
allocation,B1,1,1
allot,C2,1,1
allotment,C2,1,1
allow,A2,0,1
allowance,B1,0,1
alloy,B2,1,1
allude,C2,1,0
allusion,C2,1,0
ally,B2,1,1
almost,A1,0,1
alone,A2,1,1
along,A1,0,1
alongside,B2,1,1
aloud,B1,0,1
alphabet,B1,0,1
alphabetical,B2,0,0
already,A1,0,0
alright,A2,1,0
also,A1,0,1
altar,B2,1,0
alter,B2,1,1
alteration,B2,1,0
alternate,B2,1,1
alternation,C1,1,1
alternative,B1,1,1
alternatively,B2,1,0
although,A2,0,1
altitude,B2,1,1
altogether,B1,1,1
altruism,C1,1,0
altruistic,C1,0,0
aluminum/aluminium,B2,1,1
always,A1,0,1
am,A1,0,0
amateur,C1,1,1
amaze,B2,1,1
amazed,B1,0,0
amazement,B2,1,1
amazing,B1,1,0
amazingly,B2,0,0
ambassador,B2,0,1
ambient,B2,0,1
ambiguity,B2,0,1
ambiguous,B2,1,1
ambition,A2,1,1
ambitious,B1,1,1
ambulance,B1,1,1
amend,C2,1,1
amendment,C2,1,1
